category,food_id,id,name,WATER,FIBSOL,FIBINS,FIBTG,FIB-SDFS,FIB-SDFP,FIB-IDF,STARES,FIB-TDF,
01,01105,0153,こめ　［陸稲穀粒］　精白米,14.9,Tr,0.5,0.5,-,-,-,-,-,
01,01106,0154,こめ　［陸稲めし］　玄米,60.0,0.2,1.2,1.4,-,-,-,-,-,
01,01107,0155,こめ　［陸稲めし］　半つき米,60.0,0.2,0.6,0.8,-,-,-,-,-,
01,01108,0156,こめ　［陸稲めし］　七分つき米,60.0,0.1,0.4,0.5,-,-,-,-,-,
01,01109,0157,こめ　［陸稲めし］　精白米,60.0,0,0.3,0.3,-,-,-,-,-,
01,01110,0158,こめ　［うるち米製品］　アルファ化米　一般用,7.9,0.2,1.0,1.2,-,-,-,-,-,
01,01156,0159,こめ　［うるち米製品］　アルファ化米　学校給食用強化品,7.9,0.2,1.0,1.2,-,-,-,-,-,
01,01214,0159-1,こめ　［うるち米製品］　水稲全かゆ　レトルト　玄米,88.0,-,-,-,0.3,0.1,0.5,0.1,0.9,
01,01215,0159-2,こめ　［うるち米製品］　水稲全かゆ　レトルト　精白米,90.7,-,-,-,0.2,Tr,0.2,0.1,0.5,
01,01111,0160,こめ　［うるち米製品］　おにぎり,57.0,0,0.4,0.4,-,-,-,-,-,
01,01112,0161,こめ　［うるち米製品］　焼きおにぎり,56.0,0,0.4,0.4,-,-,-,-,-,
01,01113,0162,こめ　［うるち米製品］　きりたんぽ,50.0,0,0.4,0.4,-,-,-,-,-,
01,01114,0163,こめ　［うるち米製品］　上新粉,14.0,Tr,0.6,0.6,-,-,-,-,-,
01,01157,0164,こめ　［うるち米製品］　玄米粉,4.6,0.6,2.9,3.5,-,-,-,-,-,
01,01158,0165,こめ　［うるち米製品］　米粉,11.1,Tr,0.6,0.6,-,-,-,-,-,
01,01211,0166,こめ　［うるち米製品］　米粉パン　食パン,41.2,(0.1),(0.6),(0.7),-,-,-,-,-,
01,01212,0167,こめ　［うるち米製品］　米粉パン　ロールパン,41.2,(0.1),(0.5),(0.6),-,-,-,-,-,
01,01159,0168,こめ　［うるち米製品］　米粉パン　小麦グルテン不使用のもの,41.2,0.1,0.8,0.9,-,-,-,-,-,
01,01160,0169,こめ　［うるち米製品］　米粉めん,37.0,0.3,0.6,0.9,-,-,-,-,-,
01,01115,0170,こめ　［うるち米製品］　ビーフン,11.1,0,0.9,0.9,-,-,-,-,-,
01,01169,0171,こめ　［うるち米製品］　ライスペーパー,13.2,0.2,0.6,0.8,-,-,-,-,-,
01,01116,0172,こめ　［うるち米製品］　米こうじ,33.0,0.2,1.2,1.4,-,-,-,-,-,
01,01117,0173,こめ　［もち米製品］　もち,44.5,0,0.5,0.5,-,-,-,-,-,
01,01118,0174,こめ　［もち米製品］　赤飯,53.0,0.1,1.5,1.6,-,-,-,-,-,
01,01119,0175,こめ　［もち米製品］　あくまき,69.5,0,0.2,0.2,-,-,-,-,-,
01,01120,0176,こめ　［もち米製品］　白玉粉,12.5,Tr,0.5,0.5,-,-,-,-,-,
01,01121,0177,こめ　［もち米製品］　道明寺粉,11.6,0,0.7,0.7,-,-,-,-,-,
01,01161,0178,こめ　［その他］　米ぬか,10.3,2.2,18.3,20.5,-,-,-,-,-,
01,01122,0179,そば　そば粉　全層粉,13.5,0.8,3.5,4.3,-,-,-,-,-,
01,01123,0180,そば　そば粉　内層粉,14.0,0.5,1.3,1.8,-,-,-,-,-,
01,01124,0181,そば　そば粉　中層粉,13.5,1.3,3.1,4.4,-,-,-,-,-,
01,01125,0182,そば　そば粉　表層粉,13.0,1.1,6.0,7.1,-,-,-,-,-,
01,01126,0183,そば　そば米,12.8,1.0,2.7,3.7,-,-,-,-,-,
01,01127,0184,そば　そば　生,33.0,-,-,-,1.8,1.6,2.6,0.2,6.0,
01,01128,0185,そば　そば　ゆで,68.0,0.5,1.5,2.0,0.9,0.8,1.2,0.1,2.9,
