ID,Species,Name,CC,Age,Lat,Long
804,H. sapiens,Cioclovina,1499,0.0285,45.571,23.231
803,H. sapiens,Combe Capelle,1570,0.028,44.75277778,0.8486111111
802,H. sapiens,Cro-Magnon 2,1402,0.0277,44.94027778,1.009722222
801,H. sapiens,Cro-Magnon 3,1590,0.0277,44.94027778,1.009722222
800,H. sapiens,Cro-Magnon 1,1730,0.0277,44.94027778,1.009722222
799,H. sapiens,Grotte des Infants 5,1375,0.0275,43.78333333,7.53555556
798,H. sapiens,Grotte des Infants 6,1580,0.0275,43.78333333,7.53555556
797,H. sapiens,Grotte des Infants 4,1775,0.0275,43.78333333,7.53555556
796,H. sapiens,Sungir 1,1464,0.0271,56.17583333,40.50916667
793,H. sapiens,Dolni Vestonice 14,1538,0.0266,48.88333,16.65
795,H. sapiens,Dolni Vestonice 15,1378,0.0266,48.88333,16.65
794,H. sapiens,Dolni Vestonice 13,1481,0.0266,48.88333,16.65
784,H. sapiens,Predmosti 3,1580,0.026,49.4833,17.4286
792,H. sapiens,Predmosti 4,1250,0.026,49.4833,17.4286
791,H. sapiens,Dolni Vestonice 3,1285,0.026,48.88333,16.65
783,H. sapiens,Brno I,1600,0.026,49.19527778,16.60833333
790,H. sapiens,Brno III,1304,0.026,49.19527778,16.60833333
789,H. sapiens,Sungir 3,1361,0.026,56.17583333,40.50916667
788,H. sapiens,Predmosti 10,1452,0.026,49.4833,17.4286
787,H. sapiens,Pavlov 1,1472,0.026,48.87418377,16.67225204
786,H. sapiens,WLH 50,1540,0.026,-33.618142,143.101406
785,H. sapiens,Predmosti 9,1555,0.026,49.4833,17.4286
782,H. sapiens,Dolni Vestonice 16,1547,0.0256,48.88333,16.65
781,H. sapiens,Barma Grande II,1748,0.0248,43.78405735,7.534711773
780,H. sapiens,Veyrier 1,1430,0.024,46.16666667,6.183333333
779,H. sapiens,Sungir 5,1453,0.024,56.17583333,40.50916667
777,H. sapiens,Kostenki 2,1605,0.0238,51.38583333,39.05166667
778,H. sapiens,Sungir 2,1267,0.0238,56.17583333,40.50916667
776,H. sapiens,Brno II,1500,0.0237,49.19527778,16.60833333
775,H. sapiens,Arene Candide 1-IP,1490,0.0234,44.1623257,8.3282707
774,H. sapiens,Kostenki 14,1222,0.0228,51.38583333,39.05166667
773,H. sapiens,Mollet III,1521,0.02233,42.163007,2.747847
772,H. sapiens,Pataud 1,1380,0.022,44.93695833,1.012733333
771,H. sapiens,Roc de Sers,1380,0.01923,45.5742058,0.3286117033
770,H. sapiens,Roc de Sers,1485,0.01923,45.5742058,0.3286117033
769,H. sapiens,Cohuna,1447,0.019,-35.8,144.2
768,H. sapiens,Minatogawa 4,1170,0.0183,26.12188889,127.7426667
767,H. sapiens,Minatogawa 2,1170,0.0183,26.12188889,127.7426667
766,H. sapiens,Minatogawa 1,1335,0.0183,26.12188889,127.7426667
765,H. sapiens,Le Placard,1300,0.018,45.68111111,0.42
764,H. sapiens,Rond-du-Barry 8,1515,0.0171,45.04333333,3.885
763,H. sapiens,"Taforalt, Algeria",1279,0.0168,34.81055556,-2.408333333
762,H. sapiens,"Taforalt, Algeria",1360,0.0168,34.81055556,-2.408333333
761,H. sapiens,"Taforalt, Algeria",1385,0.0168,34.81055556,-2.408333333
760,H. sapiens,"Taforalt, Algeria",1390,0.0168,34.81055556,-2.408333333
759,H. sapiens,"Taforalt, Algeria",1435,0.0168,34.81055556,-2.408333333
758,H. sapiens,"Taforalt, Algeria",1478,0.0168,34.81055556,-2.408333333
757,H. sapiens,"Taforalt, Algeria",1585,0.0168,34.81055556,-2.408333333
756,H. sapiens,"Taforalt, Algeria",1622,0.0168,34.81055556,-2.408333333
755,H. sapiens,"Taforalt, Algeria",1623,0.0168,34.81055556,-2.408333333
754,H. sapiens,"Taforalt, Algeria",1645,0.0168,34.81055556,-2.408333333
753,H. sapiens,"Taforalt, Algeria",1660,0.0168,34.81055556,-2.408333333
752,H. sapiens,"Taforalt, Algeria",1660,0.0168,34.81055556,-2.408333333
751,H. sapiens,"Taforalt, Algeria",1675,0.0168,34.81055556,-2.408333333
750,H. sapiens,"Taforalt, Algeria",1685,0.0168,34.81055556,-2.408333333
749,H. sapiens,"Taforalt, Algeria",1686,0.0168,34.81055556,-2.408333333
748,H. sapiens,"Taforalt, Algeria",1689,0.0168,34.81055556,-2.408333333
747,H. sapiens,"Taforalt, Algeria",1700,0.0168,34.81055556,-2.408333333
746,H. sapiens,"Taforalt, Algeria",1738,0.0168,34.81055556,-2.408333333
745,H. sapiens,"Taza, Algeria",1125,0.016,36.7002,5.5594
744,H. sapiens,St. Germain-la-Rivie,1354,0.0158,44.94777778,-0.3325
743,H. sapiens,Chancelade,1530,0.0153,45.20555556,0.6655555556
