hanyu_pinyin,tongyong_pinyin,wade_giles,zhuyin,frequency_per_million,is_rare,neologism,dialectical,dialects,source,note
reng,reng,jeng,ㄖㄥ,264.94,FALSE,,,,,
ri,rih,jih,ㄖ,3361.89,FALSE,,,,,
rong,rong,jung,ㄖㄨㄥ,1909.16,FALSE,,,,,
rou,rou,jou,ㄖㄡ,220.59,FALSE,,,,,
ru,ru,ju,ㄖㄨ,3529.52,FALSE,,,,,
rua,,,ㄖㄨㄚ,,TRUE,,TRUE,Sichuanese,https://en.wiktionary.org/w/index.php?title=%E6%8C%BC&oldid=87614338#Chinese,
ruan,ruan,juan,ㄖㄨㄢ,1515.7,FALSE,,,,,
rui,ruei,jui,ㄖㄨㄟ,272.47,FALSE,,,,,
run,run,jun,ㄖㄨㄣ,38.96,FALSE,,,,,
ruo,ruo,jo,ㄖㄨㄛ,165.89,FALSE,,,,,
sa,sa,sa,ㄙㄚ,125.3,FALSE,,,,,
sai,sai,sai,ㄙㄞ,303.53,FALSE,,,,,
san,san,san,ㄙㄢ,2234.46,FALSE,,,,,
sang,sang,sang,ㄙㄤ,57.41,FALSE,,,,,
sao,sao,sao,ㄙㄠ,146.59,FALSE,,,,,
se,se,se,ㄙㄜ,873.3,FALSE,,,,,
sei,sei,,ㄙㄟ,0,TRUE,TRUE,TRUE,,"https://en.wiktionary.org/w/index.php?title=C&oldid=88486154#Chinese
https://en.wiktionary.org/w/index.php?title=%E5%A1%9E&oldid=88127496#Chinese",
sen,sen,sen,ㄙㄣ,148.64,FALSE,,,,,
seng,seng,seng,ㄙㄥ,24.99,FALSE,,,,,
sha,sha,sha,ㄕㄚ,435.67,FALSE,,,,,
shai,shai,shai,ㄕㄞ,32.98,FALSE,,,,,
shan,shan,shan,ㄕㄢ,2089.78,FALSE,,,,,
shang,shang,shang,ㄕㄤ,6808.37,FALSE,,,,,
shao,shao,shao,ㄕㄠ,1254.61,FALSE,,,,,
she,she,she,ㄕㄜ,4658.44,FALSE,,,,,
shei,shei,,ㄕㄟ,106.86,FALSE,,,,,
shen,shen,shen,ㄕㄣ,2762.59,FALSE,,,,,
sheng,sheng,sheng,ㄕㄥ,5445.43,FALSE,,,,,
shi,shih,shih,ㄕ,31869.21,FALSE,,,,,
shong,shong,,ㄕㄨㄥ,0,TRUE,,,,,
shou,shou,shou,ㄕㄡ,5053.88,FALSE,,,,,
shu,shu,shu,ㄕㄨ,7393.01,FALSE,,,,,
shua,shua,shua,ㄕㄨㄚ,128.83,FALSE,,,,,
shuai,shuai,shuai,ㄕㄨㄞ,76.54,FALSE,,,,,
shuan,shuan,shuan,ㄕㄨㄢ,11.59,FALSE,,,,,
shuang,shuang,shuang,ㄕㄨㄤ,358.1,FALSE,,,,,
shui,shuei,shui,ㄕㄨㄟ,1816.21,FALSE,,,,,
shun,shun,shun,ㄕㄨㄣ,241.96,FALSE,,,,,
shuo,shuo,shuo,ㄕㄨㄛ,842.13,FALSE,,,,,
si,sih,ssu,ㄙ,5828.46,FALSE,,,,,
song,song,sung,ㄙㄨㄥ,740.32,FALSE,,,,,
sou,sou,sou,ㄙㄡ,382.38,FALSE,,,,,
su,su,su,ㄙㄨ,1587.62,FALSE,,,,,
suan,suan,suan,ㄙㄨㄢ,664.4,FALSE,,,,,
sui,suei,sui,ㄙㄨㄟ,910.38,FALSE,,,,,
sun,sun,sun,ㄙㄨㄣ,296.57,FALSE,,,,,
suo,suo,so,ㄙㄨㄛ,3874.02,FALSE,,,,,
ta,ta,tʽa,ㄊㄚ,2797.14,FALSE,,,,,
tai,tai,tʽai,ㄊㄞ,7028.25,FALSE,,,,,
tan,tan,tʽan,ㄊㄢ,1067.44,FALSE,,,,,
tang,tang,tʽang,ㄊㄤ,499.22,FALSE,,,,,
tao,tao,tʽao,ㄊㄠ,1967.71,FALSE,,,,,
te,te,tʽe,ㄊㄜ,1169.92,FALSE,,,,,
tei,,,ㄊㄟ,,TRUE,,TRUE,Mandarin,https://en.wiktionary.org/w/index.php?title=%E5%BF%92&oldid=88179106#Etymology_2,
teng,teng,tʽeng,ㄊㄥ,233.24,FALSE,,,,,
ti,ti,tʽi,ㄊㄧ,7103.74,FALSE,,,,,
tian,tian,tʽien,ㄊㄧㄢ,2922.65,FALSE,,,,,
tiao,tiao,tʽiao,ㄊㄧㄠ,1053.71,FALSE,,,,,
tie,tie,tʽoeh,ㄊㄧㄝ,640.97,FALSE,,,,,
